Key,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
192,0,9,2,0,1,1,0,0,0.36,57,1,4,48,3,3,2,2,1,3,10
193,0,9,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
211,0,1,1,1,0,1,0,0,3.09,91,1,1,20,4,2,1,1,2,1,11
212,1,1,2,0,1,0,0,1,0.89,20,1,1,20,4,2,1,1,2,1,11
213,0,1,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
221,0,2,1,1,0,1,0,0,3.09,26,1,1,20,4,2,1,1,2,1,11
222,1,2,2,0,1,0,1,0,0.36,48,1,1,20,4,2,1,1,2,1,11
223,0,2,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
231,0,3,1,1,0,0,0,1,0.49,91,1,1,20,4,2,1,1,2,1,11
232,1,3,2,0,1,0,0,1,0.36,48,1,1,20,4,2,1,1,2,1,11
233,0,3,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
241,1,4,1,1,0,0,0,1,1.68,26,1,1,20,4,2,1,1,2,1,11
242,0,4,2,0,1,0,1,0,0.36,57,1,1,20,4,2,1,1,2,1,11
243,0,4,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
251,0,5,1,1,0,1,1,0,3.09,26,1,1,20,4,2,1,1,2,1,11
252,1,5,2,0,1,0,1,0,1.06,20,1,1,20,4,2,1,1,2,1,11
253,0,5,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
261,1,6,1,1,0,0,0,1,1.68,91,1,1,20,4,2,1,1,2,1,11
262,0,6,2,0,1,1,0,0,1.06,20,1,1,20,4,2,1,1,2,1,11
263,0,6,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
271,1,7,1,1,0,1,0,0,1.68,167,1,1,20,4,2,1,1,2,1,11
272,0,7,2,0,1,1,0,0,0.89,57,1,1,20,4,2,1,1,2,1,11
273,0,7,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
281,0,8,1,1,0,0,1,0,0.49,26,1,1,20,4,2,1,1,2,1,11
282,1,8,2,0,1,0,0,1,0.89,57,1,1,20,4,2,1,1,2,1,11
283,0,8,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
291,1,9,1,1,0,0,1,0,0.49,167,1,1,20,4,2,1,1,2,1,11
292,0,9,2,0,1,1,0,0,1.06,48,1,1,20,4,2,1,1,2,1,11
293,0,9,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
111,0,1,1,1,0,0,1,0,1.68,91,1,1,22,3,2,1,2,1,1,12
112,1,1,2,0,1,0,1,0,0.89,48,1,1,22,3,2,1,2,1,1,12
113,0,1,3,0,0,0,0,0,0,0,1,1,22,3,2,1,2,1,1,12
121,0,2,1,1,0,1,0,0,1.68,26,1,1,22,3,2,1,2,1,1,12
122,1,2,2,0,1,0,0,1,1.06,48,1,1,22,3,2,1,2,1,1,12
